,tax_id,tax_level,genus_tax_id,name,category,SRR11440668,SRR11440704,SRR11440674,SRR11440652,SRR11440647,SRR11440604,SRR11440710,SRR11440624,SRR11440628,SRR11440741,SRR11440736,SRR11440729,SRR11440607,SRR11440679,SRR11440682,SRR11440644,SRR11440620,SRR11440738,SRR11440708,SRR11440660,SRR11440622,SRR11440602,SRR11440698,SRR11440707,SRR11440613,SRR11440695,SRR11440637,SRR11440740,SRR11440638,SRR11440605,SRR11440725,SRR11440606,SRR11440687,SRR11440673,SRR11440667,SRR11440719,SRR11440609,SRR11440692,SRR11440612,SRR11440727,SRR11440724,SRR11440617,SRR11440712,SRR11440619,SRR11440705,SRR11440669,SRR11440636,SRR11440739,SRR11440662,SRR11440623,SRR11440621,SRR11440610,SRR11440700,SRR11440632,SRR11440684,SRR11440678,SRR11440691,SRR11440603,SRR11440666,SRR11440672,SRR11440659,SRR11440686,SRR11440650,SRR11440627,SRR11440633,SRR11440683,SRR11440694,SRR11440616,SRR11440648,SRR11440601,SRR11440676,SRR11440665,SRR11440733,SRR11440670,SRR11440744,SRR11440693,SRR11440709,SRR11440641,SRR11440717,SRR11440699,SRR11440626,SRR11440654,SRR11440728,SRR11440732,SRR11440742,SRR11440629,SRR11440664,SRR11440723,SRR11440671,SRR11440661,SRR11440653,SRR11440608,SRR11440714,SRR11440713,SRR11440697,SRR11440651,SRR11440743,SRR11440734,SRR11440706,SRR11440722,SRR11440696,SRR11440715,SRR11440618,SRR11440675,SRR11440681,SRR11440625,SRR11440718,SRR11440663,SRR11440615,SRR11440657,SRR11440614,SRR11440631,SRR11440726,SRR11440711,SRR11440685,SRR11440634,SRR11440630,SRR11440688,SRR11440656,SRR11440639,SRR11440649,SRR11440716,SRR11440646,SRR11440642,SRR11440731,SRR11440737,SRR11440658,SRR11440645,SRR11440690,SRR11440721,SRR11440730,SRR11440735,SRR11440720,SRR11440689,SRR11440655,SRR11440680,SRR11440701,SRR11440643,SRR11440677,SRR11440703,SRR11440640,SRR11440635,SRR11440611,SRR11440702
93,358,1,357,Agrobacterium tumefaciens,bacteria,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,2.0,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1290,1,1279,Staphylococcus hominis,bacteria,2.0,,,,,,2.0,,,6.0,,,2.0,,,,,,2.0,2.0,2.0,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,2.0,,4.0,,,2.0,,,,,,,,,,,,8.0,,,,,2.0,,,,,2.0,,,,4.0,2.0,,,,,2.0,2.0,,,4.0,4.0,,2.0,,,,,,,2.0,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,
96,1282,1,1279,Staphylococcus epidermidis,bacteria,2.0,,,,,,8.0,,2.0,10.0,2.0,,,,,,8.0,10.0,14.0,,2.0,,,12.0,,,,2.0,,,,,,2.0,,,2.0,2.0,,,,,,10.0,8.0,6.0,2.0,,,10.0,4.0,,,2.0,,4.0,4.0,2.0,,,,,,,2.0,,,2.0,4.0,,,,,2.0,,,8.0,,,2.0,2.0,,,,,2.0,,,,,,2.0,,2.0,,2.0,,,6.0,,,,10.0,,4.0,,,,14.0,,2.0,2.0,8.0,2.0,,2.0,2.0,,2.0,,,2.0,2.0,2.0,,,,4.0,,,,,,,3.0,,,,,,2.0,,,
98,470,1,469,Acinetobacter baumannii,bacteria,2.0,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,4.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
102,152682,1,13687,Sphingomonas melonis,bacteria,2.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
106,33011,1,1912216,Cutibacterium granulosum,bacteria,6.0,,,,4.0,,2.0,2.0,,2.0,,,,2.0,,,2.0,2.0,2.0,,8.0,,,8.0,,,,4.0,,,,,,,,,2.0,,,,2.0,,2.0,,6.0,,,2.0,,,,,,2.0,,,,,,,,2.0,,,,,,6.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,4.0,6.0,,,,,,,,,,2.0,,,,,4.0,,,2.0,,,,,2.0,2.0,,,,,2.0,2.0,,,,,,,3.0,,,2.0,,,,,2.0
107,1747,1,1912216,Cutibacterium acnes,bacteria,22.0,,2.0,6.0,63.0,,55.0,5.0,6.0,62.0,2.0,,10.0,28.0,4.0,23.0,40.0,42.0,94.0,8.0,108.0,4.0,2.0,165.0,,2.0,6.0,135.0,8.0,6.0,2.0,2.0,10.0,,4.0,2.0,15.0,49.0,,14.0,12.0,14.0,58.0,60.0,88.0,20.0,18.0,43.0,7.0,36.0,38.0,8.0,6.0,12.0,2.0,24.0,10.0,4.0,6.0,10.0,9.0,6.0,8.0,,18.0,2.0,9.0,70.0,61.0,2.0,2.0,10.0,10.0,23.0,6.0,6.0,43.0,2.0,6.0,4.0,6.0,10.0,8.0,5.0,2.0,13.0,4.0,20.0,12.0,,10.0,30.0,10.0,88.0,6.0,12.0,5.0,10.0,101.0,2.0,,2.0,165.0,6.0,50.0,6.0,10.0,,487.0,92.0,4.0,17.0,13.0,56.0,2.0,18.0,24.0,8.0,6.0,8.0,18.0,6.0,62.0,5.0,4.0,6.0,10.0,4.0,,,2.0,4.0,4.0,10.0,8.0,24.0,5.0,8.0,6.0,6.0,2.0,63.0,4.0,6.0
109,562,1,561,Escherichia coli,bacteria,20.0,2.0,4.0,,22.0,,30.0,4.0,8.0,31.0,6.0,2.0,8.0,39.0,,8.0,28.0,18.0,94.0,6.0,24.0,,18.0,104.0,,165.0,8.0,26.0,12.0,,2.0,,2.0,6.0,2.0,,10.0,2.0,,4.0,10.0,8.0,26.0,72.0,78.0,8.0,10.0,22.0,,24.0,22.0,4.0,4.0,22.0,2.0,36.0,7.0,2.0,8.0,4.0,2.0,2.0,2.0,8.0,18.0,,,74.0,52.0,,6.0,4.0,4.0,22.0,,,20.0,4.0,2.0,2.0,6.0,4.0,2.0,4.0,2.0,20.0,4.0,8.0,18.0,8.0,12.0,8.0,6.0,38.0,,2.0,,4.0,104.0,,2.0,4.0,64.0,6.0,34.0,,12.0,4.0,80.0,2.0,,14.0,4.0,18.0,,8.0,16.0,2.0,4.0,16.0,6.0,2.0,24.0,12.0,,2.0,4.0,9.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,30.0,2.0,8.0,2.0,4.0,4.0,22.0,2.0,4.0
111,223967,1,2282523,Methylorubrum populi,bacteria,2.0,,,4.0,10.0,,10.0,,3.0,3.0,,,2.0,4.0,,,,2.0,14.0,,1.0,,,12.0,,,,4.0,,,,1.0,,,,,2.0,4.0,,2.0,5.0,,4.0,6.0,20.0,,5.0,10.0,2.0,9.0,4.0,4.0,2.0,,,4.0,,,1.0,,,2.0,,,4.0,2.0,4.0,8.0,9.0,,2.0,2.0,,4.0,,,9.0,,,,2.0,4.0,,,,2.0,2.0,6.0,2.0,,,2.0,5.0,9.0,,,,,18.0,,,,18.0,4.0,4.0,,4.0,,14.0,2.0,,2.0,1.0,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,,15.0,4.0,,,2.0,,2.0,,,,,,2.0,9.0,,2.0,4.0,,,4.0,,
119,2689328,1,-200011012,Atrato Partiti-like virus 3,viruses,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,72000,1,57493,Kocuria rhizophila,bacteria,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2705458,1,547,Enterobacter sp. SES19,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1922217,1,551,Candidatus Erwinia haradaeae,bacteria,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,552,1,551,Erwinia amylovora,bacteria,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1334,1,1301,Streptococcus dysgalactiae,bacteria,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
148,312277,1,237,Flavobacterium indicum,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,29466,1,29465,Veillonella parvula,bacteria,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,34062,1,475,Moraxella osloensis,bacteria,,,2.0,,4.0,2.0,6.0,,,4.0,,4.0,,2.0,,2.0,4.0,6.0,,,4.0,,,8.0,,,,2.0,,,,,2.0,,2.0,,2.0,,,,,,,,4.0,2.0,18.0,4.0,4.0,4.0,2.0,2.0,,,,2.0,,,,,,,,,2.0,,,6.0,2.0,2.0,,,4.0,,,,,,,,,,,4.0,,,2.0,,2.0,,,,,,,,,,6.0,,,,4.0,,8.0,,,2.0,,,,2.0,,2.0,,6.0,4.0,,,,,,4.0,,,,,,,,2.0,,,,,4.0,,,,,,8.0,,
157,40214,1,469,Acinetobacter johnsonii,bacteria,,,2.0,,,,,,,,,,,,,,,6.0,1.0,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,2.0,3.0,5.0,,4.0,,,4.0,,,2.0,,,,,,,,,,,,,,2.0,3.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,2.0,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
158,2583851,1,308865,Elizabethkingia sp. JS20170427COW,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,237258,1,501783,Cloacibacterium normanense,bacteria,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,4.0,,,,,,,,2.0,2.0,4.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,4.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
165,212695,1,-200,uncultured Flavobacteriia bacterium,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,150055,1,1301,Streptococcus lutetiensis,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1179670,1,1269,Micrococcus sp. KBS0714,bacteria,,,,1.0,,,,,,,,,,,,,2.0,4.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
175,1270,1,1269,Micrococcus luteus,bacteria,,,,1.0,6.0,,58.0,,,6.0,2.0,2.0,,,,,2.0,,14.0,,6.0,,,9.0,,,,15.0,,,4.0,,,,2.0,,,2.0,,,2.0,,4.0,14.0,24.0,4.0,4.0,2.0,,12.0,8.0,,4.0,,,4.0,,,4.0,,,,2.0,,8.0,2.0,,8.0,1.0,2.0,,,2.0,8.0,,,6.0,,,,1.0,,,,,4.0,,,,2.0,,2.0,,8.0,,2.0,,,23.0,,,,10.0,,,,,4.0,14.0,2.0,,4.0,,10.0,5.0,12.0,,,2.0,2.0,4.0,2.0,2.0,1.0,,,,,,,,,,,4.0,3.0,,1.0,,,2.0,8.0,,
178,29378,1,1279,Staphylococcus arlettae,bacteria,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1280,1,1279,Staphylococcus aureus,bacteria,,,,2.0,2.0,,2.0,,2.0,4.0,,,2.0,,,2.0,2.0,6.0,6.0,,,,,8.0,,,,,2.0,,2.0,,,,2.0,,,,,,,,,2.0,4.0,2.0,,2.0,4.0,6.0,6.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,5.0,,2.0,,,1.0,,4.0,,,,2.0,,,,,,,4.0,,,,,,2.0,,,2.0,,,2.0,,,4.0,,,,,,,,4.0,2.0,,,,,,,,,4.0,2.0,,,,2.0,,,,,,,2.0,2.0,,,,,,2.0,,
180,40216,1,469,Acinetobacter radioresistens,bacteria,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,53358,1,53357,Intrasporangium calvum,bacteria,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,366602,1,75,Caulobacter sp. K31,bacteria,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1870984,1,165779,Anaerococcus mediterraneensis,bacteria,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,730,1,724,[Haemophilus] ducreyi,bacteria,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
200,169292,1,1716,Corynebacterium aurimucosum,bacteria,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,4.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
209,117567,1,1866885,Mycolicibacterium frederiksbergense,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,751944,1,2239,Halobacterium sp. DL1,archaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,13689,1,13687,Sphingomonas paucimobilis,bacteria,,,,,4.0,,,,2.0,,,,,,,,2.0,,,,2.0,,,4.0,,,,,,,,,,,,,2.0,,,,,,,2.0,4.0,,,,,2.0,1.0,,,,,2.0,,,,,,,,,,,,6.0,2.0,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,4.0,,,,2.0,,,,,,4.0,,,2.0,,,,,2.0,,2.0,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,,,,
224,2654238,1,286,Pseudomonas sp. DTU12.1,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,674034,1,286,Pseudomonas sp. J465,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,76760,1,286,Pseudomonas rhodesiae,bacteria,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,312306,1,286,Pseudomonas entomophila,bacteria,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,1773,1,1763,Mycobacterium tuberculosis,bacteria,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,43990,1,1716,Corynebacterium segmentosum,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,1725,1,1716,Corynebacterium xerosis,bacteria,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,108486,1,1716,Corynebacterium falsenii,bacteria,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,43770,1,1716,Corynebacterium striatum,bacteria,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,2696058,1,407,Methylobacterium sp. NI91,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,334852,1,407,Methylobacterium oryzae,bacteria,,,,,2.0,,1.0,,,1.0,,,,,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2048898,1,33882,Microbacterium sp. Y-01,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,300019,1,33882,Microbacterium paludicola,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,863372,1,963,Herbaspirillum huttiense,bacteria,,,,,2.0,2.0,,,,6.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2126319,1,34072,Variovorax sp. PMC12,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2487064,1,59732,Chryseobacterium sp. G0186,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1879050,1,469,Acinetobacter wuhouensis,bacteria,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,40215,1,469,Acinetobacter junii,bacteria,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
250,29430,1,469,Acinetobacter haemolyticus,bacteria,,,,,1.0,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,106649,1,469,Acinetobacter guillouiae,bacteria,,,,,2.0,,,,,4.0,,,,2.0,,,6.0,,4.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,2.0,,2.0,,,,,6.0,,,,,,,,,4.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,10.0,,,,,,2.0,,,,2.0,,,,,2.0,,2.0,,,,2.0,2.0,,2.0,,,,,2.0,,,,,,,,2.0,,,,2.0,,,,
253,139021,1,37914,Dietzia psychralcaliphila,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2071710,1,547,Enterobacter sichuanensis,bacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,299767,1,547,Enterobacter ludwigii,bacteria,,,,,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
256,158836,1,547,Enterobacter hormaechei,bacteria,,,,,2.0,4.0,,,,,,,2.0,,,,,,2.0,4.0,,,,2.0,,2.0,,,,,3.0,,,,,,2.0,8.0,,,,,,2.0,,1.0,,,,,,,,,,,3.0,,,4.0,,,,,,,5.0,6.0,2.0,,2.0,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,5.0,,2.0,,,,,,,2.0,,,,4.0,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,1.0,,
